,batch_year,OfficerId,EMPLOYEE_CODE,Service_Code,NAME,DOMICILE_STATE,CadreStateCode,Gender_name,CategoryDesc,SSDesc,HandicapStatus,recruitment_types,AADHAR_NUMBER,DATE_OF_BIRTH,DATE_OF_JOINING,Languages_names,mother_tongue_languages_name,DEGREE,DIVISION,SUBJECT1,SUBJECT2,SUBJEC3,INSTITUTION,UNIVERSITY,PASSINGYEAR,CGPA,PERCENTAGE,PostingLocation_Centre_Cadre,PostingType,PostingLevel,Designation,Department,Ministry,Office,Location,Remarks,MajorExperienceDescription,MinorExperienceDescription,tenure_type_types,debartment_type_value
25,1900,37362,28443,IAS,Shri Hema Sharma ,,GJ,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
26,1900,35497,28184,IAS,Shri Honmillee Teronpi ,,AP,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
27,1979,409,3010,IAS,Ms. J BALACHANDER ,Sikkim,SK,Male,O.B.C.,Retired compulsorily,N.A.,Not Available,,1957-04-06 00:00:00,1979-07-01 00:00:00,Hindi,Hausa,Diploma,Ordinary ,Development,,,N.A.,N.A.,0,0.0,0.0,Both,Cadre(Domestic_Trainings),,N.A.,N.A.,N.A.,N.A.,N.A.,,N.Applicable/N.Available,N.Applicable/N.Available,,N.A.
28,1900,31854,27244,IAS,Shri Jai Prakash Sager ,,TR,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
29,1917,13609,2689,IAS,Ms. JUMKI S KUMAR ,Uttarakhand,PB,Male,S.C.,Serving,N.A.,Not Available,0,0000-00-00 00:00:00,0000-00-00 00:00:00,Hindi,English,Graduate,Second ,Engineeriing,Histology,EconomicDev.,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
30,1918,13614,2694,IAS,Ms. K BHATNAGAR ,Punjab,PB,Male,O.B.C.,Serving,N.A.,Not Available,0,0000-00-00 00:00:00,0000-00-00 00:00:00,Hindi,Lepcha,Graduate,Second ,Engineeriing,PoliticalSc.,Histology,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,Terms,N.A.
31,1900,37331,28424,IAS,Shri K Nikhila ,,TN,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
32,1900,35479,28157,IAS,Shri K. Jyothi ,,JH,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
33,1900,35482,28128,IAS,Shri K. Leelavathy ,,JH,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
34,1900,37338,28418,IAS,Shri K. Swarnalatha ,,TN,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
35,1900,35458,28152,IAS,Shri K.S. Latha Kumari ,,JH,Male,S.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
36,1900,31865,27055,IAS,Shri Kanak Tripathi ,,TR,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
37,1935,14577,9825,IAS,Ms. Kancha Jai,Tripura,KL,Male,O.B.C.,Serving,N.A.,Not Available,0,0000-00-00 00:00:00,0000-00-00 00:00:00,Bengali,Lepcha,PG Diploma,Ordinary ,ForensicSc.,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
38,1900,35400,28115,IAS,Shri Kasturi Sengupta ,,UD,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
39,1900,35475,28133,IAS,Shri Kavitha S. Mannikeri ,,JH,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
40,1900,13723,26263,IAS,Ms. Krishna Gohai ,,AP,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
41,1966,2941,453,IAS,Ms. KRISHNA SINGH ,Assam Meghalya,AM,Male,O.B.C.,Serving,N.A.,Not Available,,0000-00-00 00:00:00,0000-00-00 00:00:00,Hindi,Lepcha,Graduate,First ,Histology,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,Terms,N.A.
42,1900,13991,24780,IAS,Ms. Kumudlata Srivastava ,,TR,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,8233D522AD1A4F5140FD05222B210228,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
43,1900,31857,27247,IAS,Ms. Kumudlata Srivastava ,,TR,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,8233D522AD1A4F5140FD05222B210228,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
44,1911,13586,2666,IAS,Ms. KUSUM PRASAD ,Daman & Diu,PB,Male,O.B.C.,Serving,N.A.,Not Available,0,0000-00-00 00:00:00,0000-00-00 00:00:00,Hindi,Urdu,Certificate,First ,EconomicsFrom,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
45,1933,14369,11742,IAS,Ms. M Sathiyavathy,Sikkim,XX,Male,N.A.,Serving,N.A.,Not Available,0,0000-00-00 00:00:00,0000-00-00 00:00:00,Hindi,Hausa,P.G.,First ,MathematicalStats,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,Terms,N.A.
46,1900,37096,28326,IAS,Shri M. Gauthami ,,UT,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
47,1900,37086,28328,IAS,Shri M. Vijaya Suneetha ,,UT,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
48,1900,35463,28146,IAS,Shri M.S. Archana ,,JH,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
49,1900,37075,28342,IAS,Shri Madhu Bala Sharma ,,HY,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
50,1900,26832,27392,IAS,Shri Madhumita Sinha Roy ,,UD,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
51,1900,37037,28298,IAS,Shri Mahua Banerjee ,,UD,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
52,1935,14564,9497,IAS,Ms. Malini V Shankar,Sikkim,MP,Male,O.B.C.,Serving,N.A.,Not Available,0,0000-00-00 00:00:00,0000-00-00 00:00:00,Hindi,Hausa,P.G.,Ordinary ,FoundationEngg,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
53,1900,13838,25102,IAS,Ms. Manasee Mohanty ,,NL,Male,O.B.C.,Serving,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
54,1900,37387,28460,IAS,Shri Mandeep Kaur ,,GJ,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
55,1900,35500,28187,IAS,Shri Manjula Saikia Bhuya ,,AP,Male,O.B.C.,N.A.,N.A.,By Selection,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
56,1983,68,10694,IAS,Shri Manohar Kant Kalohia,Odisha,PB,Male,N.A.,Serving,N.A.,Not Available,,1953-11-25 00:00:00,1983-09-02 00:00:00,Hindi,Urdu,M.B.A.,Ordinary ,Bus.Statistics.,,,N.A.,N.A.,0,0.0,0.0,Both,Cadre_(Deputation_under_Rule_6(2)(ii),,N.A.,N.A.,N.A.,N.A.,N.A.,,N.Applicable/N.Available,N.Applicable/N.Available,N.A.,N.A.
57,1930,13700,10648,IAS,Ms. Meera Mehrishi,Daman & Diu,PB,Male,O.B.C.,Serving,N.A.,Not Available,0,0000-00-00 00:00:00,0000-00-00 00:00:00,Hindi,Lepcha,M.B.A.,Ordinary ,Bus.Statistics.,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
58,1900,33055,27897,IAS,Shri Mimum Tayeng ,,XX,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
59,1900,13731,26261,IAS,Ms. Monalisa Goswami ,,AP,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
60,1900,37376,28436,IAS,Shri Monica Malik ,,GJ,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
61,1900,13727,26267,IAS,Ms. Monimala Phukan Barthakur ,,AP,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
62,1900,35505,28160,IAS,Shri Mousumi Chattaraj Chaudhuri ,,UD,Male,O.B.C.,N.A.,N.A.,By Selection,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
63,1908,13573,2653,IAS,Ms. OTIMA BORDIA ,Tripura,PB,Male,O.B.C.,Superannuated,N.A.,Not Available,0,0000-00-00 00:00:00,0000-00-00 00:00:00,Hindi,Bengali,Graduate,First ,English,PoliticalSc.,Geodesy,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
64,1900,37085,28327,IAS,Shri P. Prasanthi ,,UT,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
65,1900,13780,24986,IAS,Ms. Paramjit Kaur ,,JK,Male,O.B.C.,Serving,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
66,1900,37345,28384,IAS,Shri Poonamdeep Kaur ,,OD,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
67,1900,37388,28461,IAS,Shri Pratima Chaudhary ,,GJ,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
68,1900,31866,27056,IAS,Shri Priti Shukla ,,TR,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
69,1900,37078,28345,IAS,Shri Purnima Chauha ,,HY,Male,O.B.C.,N.A.,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
70,1900,13742,25064,IAS,Ms. Purobi Sonowal ,,AP,Male,S.C.,Serving,N.A.,Direct Recruitment,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,,N.A.,N.A.,,,,N.A.,N.A.,0,0.0,0.0,Both,N.A.,,N.A.,N.A.,N.A.,N.A.,N.A.,,N.A.,N.A.,,N.A.
